"id","nome","prioridade"
"1","Nenhum da Lista","0"
"2","Computador Não Liga","3"
"3","Não Imprime","1"
"4","Computador Lento","5"
"5","Formatar computador com Backup","4"
"6","Formatar computador sem Bakup","5"
"7","Sem Antivirus ou Antivirus Parado","5"
"8","Computador Travando Constantemente","2"
"9","Instalação de Certificado","-1"
"10","Email Não Configurado","0"
"11","Computador Trava Congela","2"
"12","DVDR Cameras","3"
"13","Sem Internet na estação","3"
"14","Impressora laser não imprime","0"
"15","Impressora matricial não imprime","0"
"16","Impressora jato de tinta não imprime","0"
"17","Impressora 3d não imprime","0"
"18","Estação sem E-mail","1"
"19","Backup","0"
"20","Firewall","0"
